feature_set,n_features,AUPRC,precision,recall,F1,alert_rate,train_time_sec,AUPRC_gain_vs_base
xgboost_base,44,0.556990551392699,0.7551020408163265,0.4805194805194805,0.5873015873015873,0.0245,1.8580567836761475,0.0
xgboost_base_plus_graph,48,0.6095865156060857,0.7358490566037735,0.5064935064935064,0.6,0.0265,1.4629487991333008,0.05259596421338664
