strategy,run_id,AUPRC,precision_at_0_25,recall_at_0_25,F1_at_0_25,alert_rate,alerts_count,train_time_sec,inference_time_sec,inference_ms_per_row,train_rows_after_sampling,fraud_rate_after_sampling
xgboost_baseline,6e7f31edf29b4a5789dadcd9b5212cd1,0.47533407651431325,0.5842618384401114,0.41289370078740156,0.48385236447520186,0.024316727063365733,2872,9.35679316520691,0.05176520347595215,0.0004382870209973257,472432,0.03513521522674162
xgboost_scale_pos_weight,2fa7a9457ea748b9b774d975383e0b79,0.45250590589959616,0.07232994767620807,0.9251968503937008,0.13417071081929774,0.4401395333084973,51984,6.490321159362793,0.04048037528991699,0.0003427403333382751,472432,0.03513521522674162
random_undersampling,a68a1286189d47cfb1d72feb24b3f132,0.452332933974635,0.07873659733884511,0.8998523622047244,0.1448030093050881,0.3932502455379822,46446,1.761401653289795,0.055634498596191406,0.0004710476732837014,11278,0.5
smoteenn,c71f1a8334e445c69710b0be38a71c51,0.42650658985075107,0.18682241029586627,0.6572342519685039,0.290942759108981,0.12105022521759745,14297,132.85127019882202,0.06004476547241211,0.0005083886398246698,268243,0.5325134299869894
smote,d7a4506a62324db9857519deff270ddd,0.41369148215296103,0.19588653566786451,0.6304133858267716,0.2988975091874234,0.11073762996579402,13079,7.076756000518799,0.053992509841918945,0.00045714523861143145,288722,0.5
