feature_set,n_features,n_vxxx_features,n_non_vxxx_features,AUPRC,precision@0.5,recall@0.5,F1@0.5,alert_rate,train_time_sec,selected_vxxx_examples,AUPRC_gain_vs_compact
compact,59,0,59,0.4753340765143132,0.7627666451195863,0.2903543307086614,0.4206023881661023,0.01309818132556643,26.976773500442505,,0.0
wide_selected_v,109,50,59,0.47340763478086795,0.7779960707269156,0.29232283464566927,0.4249686996959399,0.012928844786127951,46.71531414985657,"V257, V244, V242, V246, V233, V201, V200, V188, V189, V232",-0.00192644173344525
